Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;156134;VÍCIOS CONSTRUTIVOS;31/08/2019;ATIVO;CÍVEL;;0;1;2;9
1;156134;VÍCIOS CONSTRUTIVOS;31/08/2019;ATIVO;CÍVEL;;0;1;2;9
1;156194;RESCISÃO CONTRATUAL COM ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;156219;RESTITUIÇÃO DA TAXA ASSOCIATIVA E IPTU;31/07/2021;ATIVO;CÍVEL;;0;1;1;10
1;156476;RESTITUIÇÃO DE COMISSÃO DE CORRETAGEM;30/06/2015;ATIVO;CÍVEL;;0;1;1;12
1;156486;VÍCIOS CONSTRUTIVOS;28/02/2021;ATIVO;CÍVEL;;0;1;1;9
1;156495;COBRANÇA INDEVIDA;31/08/2021;ATIVO;CÍVEL;;0;1;1;3
1;159489;RESCISÃO CONTRATUAL SEM ATRASO;31/03/2019;ATIVO;CÍVEL;;0;1;1;15
1;159556;INADIMPLÊNCIA DO CLIENTE;31/08/2019;ATIVO;CÍVEL;;0;1;1;8
1;159667;RESCISÃO CONTRATUAL SEM ATRASO;31/05/2015;ATIVO;CÍVEL;;0;1;1;15
1;159955;MULTA CONTRATUAL POR ATRASO;30/06/2014;ATIVO;CÍVEL;;0;1;1;15
1;163407;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
